mapSize(77, 20)
start{x=9,y=13}
loadBG{
  {0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {1,1,0,0,0,0,0,0,0,3,3,3,1,1,1,1,1,1,1,1},
  {1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,1,1,1,1,3,3,3,3,3,0,0,0,1,1,1,1,1},
  {1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,1,1,3,3,3,3,3,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1},
  {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1},
  {1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1},
  {1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1},
  {1,1,1,1,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,0,0,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,0,0,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,0,3,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1},
  {0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1},
  {1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1}
}
